Field1_text,Field1_links,Field2
"Quantitative Product Researcher
Brooklyn, NY
12 hours ago",https://www.indeed.com/cmp/Etsy/jobs#,"Company Description As an Etsy employee, you can do the work you love, be yourself, and make an impact in the lives of millions. Our commitments to diversity and inclusion, team culture and the spaces where we work all reflect our mission to keep commerce human.

Job Description


Etsy is looking for a Quantitative Product Researcher who has a passion for using data and survey methods to uncover insights.

As a Quantitative Researcher on Etsy’s Product Research team, you will work in partnership with product managers, designers, engineers, alongside other researchers and data scientists to deliver insights that will craft the future of human commerce on Etsy.

You know how to conduct professional-quality survey research and can collaborate with other researchers on mixed-methods projects. You have proven instincts about when to hold the line on methodological rigor, and when to adapt to the changing demands of a project. Most importantly, you approach your work with a genuine sense of curiosity, and you’re willing to challenge conventional wisdom to find the right answer.

Etsy’s Product Research team focuses on using multi-methods research to guide the development of buyer and seller experiences in our dynamic marketplace of unique items. We collaborate with our partner teams through all stages of product development, from identifying initial opportunities, to refining the user experience, to analyzing the impact of our efforts and highlighting improvement areas.

What you’ll do:

Conduct primary survey research (including ad hoc and tracking studies) with Etsy buyers and sellers, from start to finish:

Design, program, and field surveys across multiple parts of the marketplace experience
Analyze survey data; recognize patterns and uncover key trends and insights
Manage survey samples and ensure the quality of data collected
Craft engaging, recommendations-focused reporting that encourages marketplace health and drives Etsy’s business goals

Partner with product managers, designers, and marketers to guide product development and refinement, drawing on expertise in user research and UX standards

Independently define project scope and apply appropriate methodologies to handle a research ""portfolio"" of foundational and evaluative insights

Work closely with other researchers and data analysts to develop broad approaches to meeting partner needs

Manage third-party research vendors (e.g., sample providers, research agencies) when needed

Promote proven user research methodologies across the company



Qualifications


About you:

3+ years of experience in quantitative survey research, either in-house or at an agency

Desire to conduct the full survey research process including questionnaire development, programming, fielding, and statistical analysis (inferential stats, correlations, regression analysis, etc) of results

A focus on the details, with excellent written, visual and verbal communication skills

Able to keep multiple projects on track and handle competing demands

Experience with SPSS or other statistical analysis software

Ability to hold your own in a meeting and present research findings with a customer-centric perspective

Preferred: Experience with survey programming platforms (e.g., Qualtrics, SurveyGizmo) strongly preferred

Preferred: Experience conducting research with ecommerce or other digital product development

Preferred: SQL/database querying experience

Bachelor’s degree in a relevant field (e.g., business, marketing, psychology, sociology); Master’s degree preferred


Additional Information

At Etsy, we believe that a diverse, equitable and inclusive workplace makes us a more relevant, more competitive, and more resilient company. We welcome people from all backgrounds, ethnicities, cultures, and experiences. Etsy is an equal opportunity employer. We do not discriminate on the basis of race, color, ancestry, religion, national origin, sexual orientation, age, citizenship, marital or family status, disability, gender identity or expression, veteran status, or any other legally protected status. We will ensure that individuals with disabilities are provided a reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. While Etsy supports visa sponsorship, sponsorship opportunities may be limited to certain roles and skillsets."
"Engineering Manager, Issue Resolution
Brooklyn, NY
12 hours ago",https://www.indeed.com/cmp/Etsy/jobs?jk=96695f8ef3ed7b8e&start=0#,"Company Description As an Etsy employee, you can do the work you love, be yourself, and make an impact in the lives of millions. Our commitments to diversity and inclusion, team culture and the spaces where we work all reflect our mission to keep commerce human.

Job Description


Etsy is looking for a Quantitative Product Researcher who has a passion for using data and survey methods to uncover insights.

As a Quantitative Researcher on Etsy’s Product Research team, you will work in partnership with product managers, designers, engineers, alongside other researchers and data scientists to deliver insights that will craft the future of human commerce on Etsy.

You know how to conduct professional-quality survey research and can collaborate with other researchers on mixed-methods projects. You have proven instincts about when to hold the line on methodological rigor, and when to adapt to the changing demands of a project. Most importantly, you approach your work with a genuine sense of curiosity, and you’re willing to challenge conventional wisdom to find the right answer.

Etsy’s Product Research team focuses on using multi-methods research to guide the development of buyer and seller experiences in our dynamic marketplace of unique items. We collaborate with our partner teams through all stages of product development, from identifying initial opportunities, to refining the user experience, to analyzing the impact of our efforts and highlighting improvement areas.

What you’ll do:

Conduct primary survey research (including ad hoc and tracking studies) with Etsy buyers and sellers, from start to finish:

Design, program, and field surveys across multiple parts of the marketplace experience
Analyze survey data; recognize patterns and uncover key trends and insights
Manage survey samples and ensure the quality of data collected
Craft engaging, recommendations-focused reporting that encourages marketplace health and drives Etsy’s business goals

Partner with product managers, designers, and marketers to guide product development and refinement, drawing on expertise in user research and UX standards

Independently define project scope and apply appropriate methodologies to handle a research ""portfolio"" of foundational and evaluative insights

Work closely with other researchers and data analysts to develop broad approaches to meeting partner needs

Manage third-party research vendors (e.g., sample providers, research agencies) when needed

Promote proven user research methodologies across the company



Qualifications


About you:

3+ years of experience in quantitative survey research, either in-house or at an agency

Desire to conduct the full survey research process including questionnaire development, programming, fielding, and statistical analysis (inferential stats, correlations, regression analysis, etc) of results

A focus on the details, with excellent written, visual and verbal communication skills

Able to keep multiple projects on track and handle competing demands

Experience with SPSS or other statistical analysis software

Ability to hold your own in a meeting and present research findings with a customer-centric perspective

Preferred: Experience with survey programming platforms (e.g., Qualtrics, SurveyGizmo) strongly preferred

Preferred: Experience conducting research with ecommerce or other digital product development

Preferred: SQL/database querying experience

Bachelor’s degree in a relevant field (e.g., business, marketing, psychology, sociology); Master’s degree preferred


Additional Information

At Etsy, we believe that a diverse, equitable and inclusive workplace makes us a more relevant, more competitive, and more resilient company. We welcome people from all backgrounds, ethnicities, cultures, and experiences. Etsy is an equal opportunity employer. We do not discriminate on the basis of race, color, ancestry, religion, national origin, sexual orientation, age, citizenship, marital or family status, disability, gender identity or expression, veteran status, or any other legally protected status. We will ensure that individuals with disabilities are provided a reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. While Etsy supports visa sponsorship, sponsorship opportunities may be limited to certain roles and skillsets."
"Software Engineer, SOE (Sell on Etsy)
Brooklyn, NY
12 hours ago",https://www.indeed.com/cmp/Etsy/jobs?jk=b53c16c7721fd0f1&start=0#,"Company Description


As an Etsy employee, you can do the work you love, be yourself, and make an impact in the lives of millions. Our commitments to diversity and inclusion, team culture and the spaces where we work all reflect our mission to keep commerce human.



Job Description


Etsy is looking for an Engineering Manager to join its new Issue Resolutions team. This role is remote-friendly within the US & Canada.

You will be leading a squad on the support product engineering team whose goal is to provide the easiest way for buyers to take care of order issues. Engineering managers closely collaborate with their Design and Product partners, providing mentorship on engineering concerns such as resilience and maintainability while supporting the career growth of each engineer on the team. You’ll also help the team to plan, collaborate, and communicate with excellence, and to nurture a healthy team culture.



Qualifications


About the Role

Lead teams to build great products. Engineering managers at Etsy play a small part in the hands-on process of building software, but a very large part in orchestrating engineers to achieve great results
Participate in the end-to-end recruiting process, hiring and on-boarding exceptional engineering talent
Collaborate with other engineering teams across Etsy to advocate for and drive change on behalf of your team
Partner cross-functionally with product managers, designers, and analytics to ensure that your team is delivering value for our users
Facilitate continuous learning and improvement for your team

About You

You are a proven team-builder that can help create an environment of safe, open communication between team members
You facilitate technical decision-making across a broad technical stack, having passion for the technical aspects of your work, but a desire to let engineers drive the details
You apply process judiciously to amplify your team’s work and effectively deliver great solutions
You thrive in a deeply collaborative environment where you partner with other cross-disciplinary leaders to achieve great results
You make data driven decisions in the face of ambiguous or changing priorities and goals


For candidates who will work in or from Colorado: The starting pay range for this role is between $160,000 and $176,000, depending on experience and location. Full-time employees are also eligible for Etsy's bonus program, equity program, and amazing benefits package. See our Careers Page for more details.


Additional Information

At Etsy, we believe that a diverse, equitable and inclusive workplace makes us a more relevant, more competitive, and more resilient company. We welcome people from all backgrounds, ethnicities, cultures, and experiences. Etsy is an equal opportunity employer. We do not discriminate on the basis of race, color, ancestry, religion, national origin, sexual orientation, age, citizenship, marital or family status, disability, gender identity or expression, veteran status, or any other legally protected status. We will ensure that individuals with disabilities are provided a reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. While Etsy supports visa sponsorship, sponsorship opportunities may be limited to certain roles and skillsets."
"Staff Software Engineer, Payments
Brooklyn, NY
12 hours ago",https://www.indeed.com/cmp/Etsy/jobs?jk=0c2602dd7f03f0b5&start=0#,"Company Description As an Etsy employee, you can do the work you love, be yourself, and make an impact in the lives of millions. Our commitments to diversity and inclusion, team culture and the spaces where we work all reflect our mission to keep commerce human.

Job Description


Etsy's SOE team is hiring a Full-Stack Software Engineers to join the Sell on Etsy team.

Our marketplace contains one-of-a-kind items from independent artists, designers, and vintage collectors. These users constitute a vibrant global community of millions of sellers who expect Etsy to be a trusted advisor in helping them start and scale their businesses.

This team is empowering the growth of the millions of creative businesses on our platform, and we're looking for someone to join us in continuing to scale their Etsy presence!

About the Team:

The SOE team is dedicated to building an entirely new native app for Etsy’s sellers using Flutter! The app will help our sellers start their business, and help to grow them. As an engineer on our team, you will play a huge role in building tools that ensure Etsy becomes the most valuable place for creative entrepreneurs to build and grow their businesses.

Here’s a taste of the problems we’re solving:

How can we help sellers to ...

Provide outstanding customer service whenever and wherever they are?

Streamline their order fulfillment process?

Grow and sustain their business all from their mobile devices?

Our production systems rely on PHP, Flutter, JavaScript, and Scala; we are proud to have an engineering culture that encourages career growth and learning. To learn more about our philosophies, tools, and some of the challenges we’ve been solving on our Engineering blog:

http://codeascraft.com/

We are language-agnostic in our approach to interviewing.

Our team is open to both remote candidates and candidates located in Etsy’s Brooklyn HQ.



Qualifications


You will do well in this role if you:

Have experience operating in a full-stack environment (bonus points if you’ve worked with Flutter).

Are an analytical problem solver and understand how to wield data to make informed decisions about your work.

Write understandable, testable code with an eye towards maintainability.

Enjoy thinking about the implications of your work on end users. You are comfortable collaborating with Product Managers and Designers to ensure that you’re delivering impactful product features.


Additional Information


At Etsy, we believe that a diverse, equitable and inclusive workplace makes us a more relevant, more competitive, and more resilient company. We welcome people from all backgrounds, ethnicities, cultures, and experiences. Etsy is an equal opportunity employer. We do not discriminate on the basis of race, color, ancestry, religion, national origin, sexual orientation, age, citizenship, marital or family status, disability, gender identity or expression, veteran status, or any other legally protected status. We will ensure that individuals with disabilities are provided a reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. While Etsy supports visa sponsorship, sponsorship opportunities may be limited to certain roles and skillsets.

For candidates who will work in or from Colorado: The starting pay range for this role is between $105,000 and $115,000, depending on experience and location. Full-time employees are also eligible for Etsy's bonus program, equity program, and amazing benefits package. See our Careers Page for more details."
"Software Engineer, Help Me Grow
Brooklyn, NY
12 hours ago",https://www.indeed.com/cmp/Etsy/jobs?jk=f4b86b97b126bf71&start=0#,"Company Description As an Etsy employee, you can do the work you love, be yourself, and make an impact in the lives of millions. Our commitments to diversity and inclusion, team culture and the spaces where we work all reflect our mission to keep commerce human.

Job Description


About the Team
Etsy is looking for a Staff Engineer to provide technical leadership for our new Payments API & Data team.


The Payments team at Etsy is committed to creating and maintaining a resilient, frictionless and scalable payments platform. Available in 45 countries, Etsy Payments enables buyers and sellers to transact in 21 currencies and offers 12 different methods to pay for items on our site.


Our API & Data team is responsible for the technical vision, development, and maturation of our API strategy for Payments. We work with internal and external customers to build scalable, well-governed payments interfaces with vocabularies that are easy to understand. It's an exciting environment with the opportunity to effect change on an Etsy-sized scale!


This is a full-time role based in Brooklyn, NY or remote.



Qualifications


About the Role

You will be a senior technical leader and critical hire on the squad and will help others around you grow as developers and be successful.
You will build and maintain code responsible for the operation of critical systems that process billions of dollars in payments.
You will collaborate with other engineers within your team and across Payments to make effective use of our API infrastructure, and also with other product teams that are building on our payments platform.
You will develop integration solutions for customers within and outside of Etsy.

About You

You have experience working on large scale, high performance and fault tolerant systems
You're an engineer who can turn ideas into extremely fast and reliable code that other people - or you, six months into the future - will find easy to comprehend and modify.
Code quality is deeply important to you, and you can lead a team in improving the quality of existing codebases
Have a knack for organization and breaking down large problems into smaller ones.
Are passionate about building and documenting APIs that developers love to use!
Can spin yarns about how you've done this right and wrong at your previous jobs. And we'll give bonus points if you can actually spin yarn.
Enjoy learning about and interacting with the people who use your product.

For candidates who will work in or from Colorado: The starting pay range for this role is between $155,000 and $163,000, depending on experience and location. Full-time employees are also eligible for Etsy's bonus program, equity program, and amazing benefits package. See our Careers Page for more details.


Additional Information

At Etsy, we believe that a diverse, equitable and inclusive workplace makes us a more relevant, more competitive, and more resilient company. We welcome people from all backgrounds, ethnicities, cultures, and experiences. Etsy is an equal opportunity employer. We do not discriminate on the basis of race, color, ancestry, religion, national origin, sexual orientation, age, citizenship, marital or family status, disability, gender identity or expression, veteran status, or any other legally protected status. We will ensure that individuals with disabilities are provided a reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. While Etsy supports visa sponsorship, sponsorship opportunities may be limited to certain roles and skillsets."
"Product Designer, Sell on Etsy App
Brooklyn, NY
12 hours ago",https://www.indeed.com/cmp/Etsy/jobs?jk=fcbc5ebbb833092a&start=0#,"Company Description As an Etsy employee, you can do the work you love, be yourself, and make an impact in the lives of millions. Our commitments to diversity and inclusion, team culture and the spaces where we work all reflect our mission to keep commerce human.

Job Description


Etsy is the global marketplace for unique and creative goods. We build, power, and evolve the tools and technologies that connect entrepreneurs with buyers around the world. As an Etsy employee, you’ll tackle unique problems alongside talented coworkers committed to Keeping Commerce Human. We're large enough that you'll focus on meaningful, complex challenges, but small enough that you can make a rewarding impact.

The Help Me Grow product group is looking for Software Engineers to collaborate and lead in building trustworthy software and outstanding user experiences.

Here’s a taste of the problems we’re solving:

How can we make it easier for sellers to manage their shops?

Continually improving our ad platform to offer more accurate bidding and to display the most compelling ads we can

Building an ever larger audience of buyers by building new capabilities for our marketing team

Providing sellers with the data and reports they need to understand how their shop is performing

Offering sellers new ways to connect with buyers, whether it’s by enabling buyers to create collections of items, offering sellers the opportunity to create listing videos, or coming up with new ad formats

Etsy is built on Google Cloud Platform, and our Web stack runs on PHP and MySQL. On the front end, we’ve developed and migrated to our own design system, and mostly build interfaces using React. We were one of the earliest and are one of the largest practitioners of continuous deployment in the industry. We also use a lot of other technologies and languages – Scala and Java for big data and distributed systems, Python and TensorFlow for machine learning, and Go for some services.

Upon final interview rounds, the team would partner with you to find the best team fit within the Help Me Grow group.

This is a full-time position within our Help Me Grow, Product Engineering group, located in Brooklyn, NY.

We’re also open to remote hires within all U.S. states except Hawaii and Alaska.

About the Role

As a Software Engineer at Etsy, you will:

Work on a product development team teammates to independently tackle well-scoped problems.

You are comfortable both mentoring and coaching other engineers and accepting coaching from more senior engineers

Will work on a large, mature codebase that supports both our Web site and multiple mobile applications

We are proud to have an engineering culture that encourages career growth and learning. You can learn more about our philosophies, tools, and some of the challenges we’ve been solving on our Code as Craft, our engineering blog.



Qualifications


You will do well in this role if you:

Have two or more years of practical software development experience.

Write understandable, testable code with an eye towards maintainability and scalability.

Are comfortable working on a cross-functional product team with Product Managers, Designers, Researchers, and Data Analysts to maximize the impact of our work.

Are invested in Etsy’s vision, mission and values.

Experience with the technologies we currently use is beneficial, but not required.

What's Next

If you're interested in joining the team at Etsy, please send a cover letter and resume telling us why you'd be right for the position. As you’ve hopefully seen already, Etsy is a place that values individuality and variety. We don’t want you to be like everyone else — we want you to be like you! So write to us and tell us what you’re all about.

Also point us to any online presence you may have (weblog, Twitter, Facebook, rap sheet), and if you write, draw, practice a craft, or contribute to something you’re proud of, that means a lot to us too. We would love to hear about it.


Additional Information


At Etsy, we believe that a diverse, equitable and inclusive workplace makes us a more relevant, more competitive, and more resilient company. We welcome people from all backgrounds, ethnicities, cultures, and experiences. Etsy is an equal opportunity employer. We do not discriminate on the basis of race, color, ancestry, religion, national origin, sexual orientation, age, citizenship, marital or family status, disability, gender identity or expression, veteran status, or any other legally protected status. We will ensure that individuals with disabilities are provided a reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. While Etsy supports visa sponsorship, sponsorship opportunities may be limited to certain roles and skillsets.

For candidates who will work in or from Colorado: The starting pay range for this role is between $105,000 and $115,000, depending on experience and location. Full-time employees are also eligible for Etsy's bonus program, equity program, and amazing benefits package. See our Careers Page for more details."
"Senior Engineering Manager, Knowledge Base
Brooklyn, NY
12 hours ago",https://www.indeed.com/cmp/Etsy/jobs?jk=4add3a0c98f4eea2&start=0#,"Company Description As an Etsy employee, you can do the work you love, be yourself, and make an impact in the lives of millions. Our commitments to diversity and inclusion, team culture and the spaces where we work all reflect our mission to keep commerce human.

Job Description


What’s the role?

The Sell on Etsy team is responsible for our mobile seller tools, helping our sellers take important actions to manage their Etsy shop while on the go. Our seller platform helps Etsy sellers showcase their inventory of unique items, maintain human connections with their buyers, and grow their small businesses.

You’ll be joining a newly-formed team that is redesigning the Sell on Etsy app to help our sellers be more efficient, focused, and clearly see how to grow their business. We need someone to help the team define a strategy, prioritize features, and own the execution of mobile design solutions. We’re looking for someone with deep native app expertise who can lead our team in best practices and current trends.

What’s product design like at Etsy?

Typically, product designers at Etsy work in a squad with a product manager, 3-7 engineers, a researcher, and an analyst.Together they drive their own part of Etsy, deliver solutions to challenging problems and get feedback directly from customers.

Day to day, it looks like:

Discovering insights, opportunities, and requirements

Testing prototypes and hypotheses with users to collect feedback

Launching experiments and evaluating how they perform and how to iterate

Presenting your work to peers and leadership, async and in-person

Taking part in weekly design critiques, workshops, all hands and squad meetings

Thinking and writing about your process and documenting your decisions



Qualifications


Mid level at Etsy means:

You work independently but seek mentorship and feedback from your manager and more senior designers

You contribute to strategy and design direction

You use research and data to inform your design solutions

You sketch, prototype, and create high fidelity artifacts for the team, using your judgement to determine the best formats and fidelities for your work

You use our design system proficiently and consistently

You ship good work, balancing pragmatism and quality

Qualities we value in designers:

Effective articulation of ideas and design solutions

Expressing feedback with kindness and candor

Tolerance for ambiguity and healthy curiosity

Translation of quantitative & qualitative insights into design decisions

Contribution to our culture: motivation, optimism, quality, integrity

Please note: If you are expressing interest by applying to one Product Designer role, your application will automatically be considered for all open positions at that level. Please do not apply to roles at the same level. We have you covered!


Additional Information

At Etsy, we believe that a diverse, equitable and inclusive workplace makes us a more relevant, more competitive, and more resilient company. We welcome people from all backgrounds, ethnicities, cultures, and experiences. Etsy is an equal opportunity employer. We do not discriminate on the basis of race, color, ancestry, religion, national origin, sexual orientation, age, citizenship, marital or family status, disability, gender identity or expression, veteran status, or any other legally protected status. We will ensure that individuals with disabilities are provided a reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. While Etsy supports visa sponsorship, sponsorship opportunities may be limited to certain roles and skillsets."
"Senior User Experience Researcher
Brooklyn, NY
12 hours ago",https://www.indeed.com/cmp/Etsy/jobs?jk=097c5404332603c6&start=0#,"Company Description As an Etsy employee, you can do the work you love, be yourself, and make an impact in the lives of millions. Our commitments to diversity and inclusion, team culture and the spaces where we work all reflect our mission to keep commerce human.

Job Description


Etsy is seeking an Engineering Manager to join our Software Engineering organization.
We believe that code is craft and that engineering management is craft as well. The work we do is part of a larger creative culture represented by the hundreds of thousands of inspired artists and designers who make Etsy such a wondrous marketplace. We believe that small, empowered, self-motivated teams can do big, impactful things.
Do you have a passion for metadata, product engineering, and people-first development? If so, this is the role for you!

About the Team
The Knowledge Base team is passionate about and dedicated to building an in-depth understanding of the unique world of Etsy. Our goal is to build, collect, and model product metadata to make sense of millions of unique items and users, enabling Etsy’s teams to craft meaningful, relevant experiences. We are responsible for the end-to-end process of describing, collecting, enhancing and serving product metadata to our internal partner teams.

We’re a multi-functional group of engineers, researchers, designers, data scientists, and product managers.
This is a full-time role located in our Brooklyn or San Francisco offices, or Remote within the United States.



Qualifications


About the Role

Lead teams to build great products. Engineering managers at Etsy play a small part in the hands-on process of building software, but a very large part in empowering engineers to succeed
Participate in the end-to-end recruiting process, hiring and on-boarding exceptional engineering talent
Collaborate with other engineering teams across Etsy to advocate for and drive change on behalf of your team
Partner cross-functionally with product managers, designers, and analytics to ensure that your team is delivering value for our users
Facilitate continuous learning and improvement for your team

About You

Can facilitate great technical decision-making across a broad technical stack, having passion for the technical aspects of your work, but a desire to let engineers drive the details
Know how to apply process judiciously to amplify your team’s work and deliver great products more effectively
Thrive in a deeply collaborative environment where you partner with other cross-disciplinary leaders to achieve great results
Have the ability to make data driven decisions in the face of ambiguous or changing priorities and goals

For candidates who will work in or from Colorado: The starting pay range for this role is between $185,000 and $203,000, depending on experience and location. Full-time employees are also eligible for Etsy's bonus program, equity program, and amazing benefits package. See our Careers Page for more details.


Additional Information

At Etsy, we believe that a diverse, equitable and inclusive workplace makes us a more relevant, more competitive, and more resilient company. We welcome people from all backgrounds, ethnicities, cultures, and experiences. Etsy is an equal opportunity employer. We do not discriminate on the basis of race, color, ancestry, religion, national origin, sexual orientation, age, citizenship, marital or family status, disability, gender identity or expression, veteran status, or any other legally protected status. We will ensure that individuals with disabilities are provided a reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. While Etsy supports visa sponsorship, sponsorship opportunities may be limited to certain roles and skillsets."
"Manager, Product and Eng Strategy & Operations
Brooklyn, NY
12 hours ago",https://www.indeed.com/cmp/Etsy/jobs?jk=6e2af52210fc2875&start=0#,"Company Description As an Etsy employee, you can do the work you love, be yourself, and make an impact in the lives of millions. Our commitments to diversity and inclusion, team culture and the spaces where we work all reflect our mission to keep commerce human.

Job Description


As a Senior UX Researcher on Etsy’s Product Research team, you will work in partnership with product managers, designers, engineers, alongside other researchers and data scientists to deliver insights that will craft the future of human commerce on Etsy.

You know how to conduct professional-quality user experience research, incorporating both qualitative and quantitative methods. You work well with others, and have proven instincts about when to hold the line on methodological rigor, and when to adapt to the changing demands of a project. Most importantly, you approach your work with a genuine sense of curiosity, and you’re willing to challenge conventional wisdom to find the right answer.

Etsy’s Product Research team focuses on using multi-methods research to guide the development of buyer and seller experiences in our dynamic marketplace of unique items. We collaborate with our partner teams through all stages of product development, from identifying initial opportunities, to refining the user experience, to analyzing the impact of our efforts and highlighting improvement areas.

This role is ideally based out of our Brooklyn, NY office but is also open to remote work in all US states (except Alaska and Hawaii).



Qualifications


Some things you’ll do:

Partner with product managers, designers and marketers to guide product development and refinement, drawing on expertise in user research and UX standards

Independently define project scope and apply appropriate methodologies to manage a research ""portfolio"" of foundational and evaluative insights

Conduct on-site, remote, and in-field user research studies with Etsy buyers and sellers

Work closely with other researchers and data analysts to develop broad approaches to meeting partner needs

Share tangible findings and prioritized recommendations on a regular basis, to encourage marketplace health and drive Etsy’s business goals

Manage third-party research vendors (e.g., research agencies, moderators) as necessary

Promote proven user research methodologies across the company

About you:

Can demonstrate an in-depth understanding of a range of user research methods and a deep understanding of contemporary trends in Web and app design

5+ years’ experience conducting UX research, employing methods such as in-depth user interviews, contextual inquiry, journey mapping, participatory design, and usability testing

Experience leading research at different parts of the product development process, from discovery to delivery

You are comfortable with the logistical challenges and workflows of recruiting for research

Ability to hold your own in a meeting and present research findings with a customer-centric perspective

You are ambitious, detail-oriented and able to manage multiple projects at a time

Experience with SQL, Qualtrics, remote testing tools, or experiment design a plus


Additional Information

At Etsy, we believe that a diverse, equitable and inclusive workplace makes us a more relevant, more competitive, and more resilient company. We welcome people from all backgrounds, ethnicities, cultures, and experiences. Etsy is an equal opportunity employer. We do not discriminate on the basis of race, color, ancestry, religion, national origin, sexual orientation, age, citizenship, marital or family status, disability, gender identity or expression, veteran status, or any other legally protected status. We will ensure that individuals with disabilities are provided a reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. While Etsy supports visa sponsorship, sponsorship opportunities may be limited to certain roles and skillsets."
"Engineering Manager, Global Product Compliance
Brooklyn, NY
12 hours ago",https://www.indeed.com/cmp/Etsy/jobs?jk=9690ed5376fc578f&start=0#,"Company Description As an Etsy employee, you can do the work you love, be yourself, and make an impact in the lives of millions. Our commitments to diversity and inclusion, team culture and the spaces where we work all reflect our mission to keep commerce human.

Job Description


Etsy is looking for a Senior Strategy & Operations Manager with a technology background to lead operational excellence and strategy development in its Product and Eng Organizations.

This role will define and be responsible for the critical initiatives and operations enabling Product, Design, Research and Engineering to operate efficiently to achieve its near and long-term business goals.

A successful candidate is defined by their track-record and heart for applying industry-proven and emergent approaches that empower teams to collaborate to deliver customer value, whether their customers are external or internal.

This is an individual contributor role, reporting to the Director of Strategy & Operations for Product and Engineering, and serving Etsy’s CPO and CTO and their leadership teams (composed of: Product, Engineering, Design and Research).

This is a full-time role located in our Brooklyn or San Francisco offices, or Remote within the United States.

For candidates who will work in or from Colorado: The starting pay range for this role is between $110,000 - $122,000, depending on experience and location. Full-time employees are also eligible for Etsy's bonus program, equity program, and amazing benefits package. See our Careers Page [embed link https://careers.etsy.com/global/en] for more details.

About the role

Design and operate the systems, processes, artifacts and roles that enable strategy development, decision-making, and execution on predictable cadences
Proactively and iteratively evolve ongoing operations so that they are people-first and highly effective
Program manage and support the Org’s most critical initiatives, including: onboarding, goal setting, and headcount investments
Build credibility and establish rapport with people at multiple levels, from C-Suite to squad
Collaborate with teams across the company to ensure that all of Etsy’s teams have systems and processes that enable effective cross-functional partnerships
Support the Product & Eng leadership meetings (weekly and quarterly), and ensure discussion materials are ready, decisions are made, and objectives are achieved, in partnership with the CTO and CPO Executive Assistants
Manage Product & Eng internal communications including meaningful org-wide emails, metrics reports, presentations and All Hands, and maintain the platforms and channels where this information is shared
Support the annual operating plan and ongoing budgeting process for Product & Eng
Collaborate with the Director of Product & Eng Strategy & Operations to prioritize headcount and recruiting efforts


Qualifications


Demonstrated experience in problem solving and operationalizing projects in a scaled organization (5 years or more)
Work independently to define and contain complex problems, prioritize effectively, and deliver quickly
Solid track record of inspiring change that's resulted in increased impact and efficiency for your customers
Experience crafting and driving agile processes which enable smooth execution, continuous improvement, and minimal waste
Ability to maintain order, focus and calm in times of ambiguity and changing priorities
Have a positive, roll-up-your-sleeves and get the work done approach
Outstanding partner management, verbal and written communication skills with the ability to interact with technical and non-technical global, cross-functional groups
Technically skilled in organizing and analyzing financial and people data
Experience working across multiple time zones and cultures, at a scaled business
Recommended experience in running technical infrastructure and launching product experiences to users
High attention to detail and ability to distill complex ideas into clear guidance and communications
Experience working with OKRs at scale
Experience working with a marketplace business model is a plus

Preferred

Experience leading complex internal change initiatives
Experience applying the principles of the Agile Manifesto in practice

Additional Information

At Etsy, we believe that a diverse, equitable and inclusive workplace makes us a more relevant, more competitive, and more resilient company. We welcome people from all backgrounds, ethnicities, cultures, and experiences. Etsy is an equal opportunity employer. We do not discriminate on the basis of race, color, ancestry, religion, national origin, sexual orientation, age, citizenship, marital or family status, disability, gender identity or expression, veteran status, or any other legally protected status. We will ensure that individuals with disabilities are provided a reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. While Etsy supports visa sponsorship, sponsorship opportunities may be limited to certain roles and skillsets."
